"","GEOID","county_ID","coastal","total_population","hhs_total","median_hh_income","pct_hisp","pct_less_HS","pct_health_coverage","pct_unemployed"
"3338","48201350104","48201",1,4654,1743,101092,26.107,3.984,72.776,6.683
"3339","48201350201","48201",1,3776,1145,61188,17.161,7.156,83.994,9.935
"3340","48201350202","48201",1,4854,1440,90227,64.957,13.964,74.518,7.699
"3341","48201350300","48201",1,6299,1975,116331,53.12,2.963,83.233,10.912
"3342","48201350400","48201",1,6682,2106,78854,78.21,18.241,61.196,6.087
"3343","48201350500","48201",1,6767,2364,72571,36.116,25.267,74.471,3.953
"3344","48201350601","48201",1,4329,1729,77788,32.086,7.651,74.154,4.116
"3345","48201350603","48201",1,4509,1370,89634,25.15,8.838,74.615,14.634
"3346","48201350604","48201",1,3306,1499,110742,19.782,4.762,81.804,0.724
"3347","48201350700","48201",1,2230,793,108456,25.561,4.363,79.763,3.178
"3348","48201350801","48201",1,5212,2318,64261,31.658,11.557,60.166,6.657
"3349","48201350803","48201",1,2998,1401,47122,42.028,8.802,58.981,5.132
"3350","48201350804","48201",1,6310,1897,151827,11.68,5.446,79.066,3.027
"3351","48201410101","48201",1,1963,998,73750,20.173,0,76.259,5.66
"3352","48201410102","48201",1,3980,2360,63222,26.382,4.693,77.818,4.48
"3353","48201410201","48201",1,1928,1210,113452,28.579,3.211,90.347,3.757
"3354","48201410202","48201",1,3753,1960,150208,15.321,0.341,89.767,6.193
"3355","48201410300","48201",1,3552,2207,98558,14.274,4.457,94.517,8.02
"3356","48201410401","48201",1,3600,1936,142054,9,1.038,87.868,3.699
"3357","48201410402","48201",1,2931,1383,160642,20.164,1.474,85.241,0.998
"3358","48201410501","48201",1,1696,900,127409,19.281,2.809,79.269,0.152
"3359","48201410502","48201",1,3067,1687,141458,15.618,0.459,95.985,5.689
"3360","48201410601","48201",1,3928,2604,101522,14.333,0.255,92.151,0.901
"3361","48201410602","48201",1,2508,1659,87957,19.777,0,87.489,3.453
"3362","48201410703","48201",1,2451,1455,110066,15.504,0.694,81.742,7.176
"3363","48201410704","48201",1,1869,1449,70196,12.199,0.895,85.028,5.753
"3364","48201410705","48201",1,1103,413,48125,14.597,4.318,95.81,9.025
"3365","48201410706","48201",1,1703,1167,64340,29.888,1.569,83.727,5.399
"3366","48201410801","48201",1,2305,1418,90556,7.809,1.596,82.346,5.179
"3367","48201410802","48201",1,1466,866,107857,9.141,0,91.05,4.264
"3368","48201410900","48201",1,3238,1903,101827,18.005,2.633,80.751,7.052
"3369","48201411001","48201",1,2215,1424,117821,7.81,0,87.837,0
"3370","48201411002","48201",1,1983,1282,88155,14.17,0,83.782,2.955
"3371","48201411003","48201",1,1694,834,101967,10.153,0,97.352,3.369
"3372","48201411100","48201",1,3669,1482,185648,17.989,0,92.164,3.396
"3373","48201411200","48201",1,1662,682,250001,9.928,3.22,91.971,2.989
"3374","48201411301","48201",1,2097,1249,112790,3.481,0.805,89.027,1.613
"3375","48201411302","48201",1,2426,1738,98594,11.954,2.08,95.968,3.45
"3376","48201411400","48201",1,2719,1069,250001,19.971,0,95.763,6.883
